"word","image","meaning","example","exampleMeaning","synonym"
"change","change.jpg","変える","He changed his plan.","彼は計画を変えた。","alter,modify"
"choose","choose.jpg","選ぶ","Choose your favorite.","好きなものを選びなさい。","select,pick"
"climb","climb.jpg","登る","He climbed the stairs.","彼は階段を登った。","ascend,scale"
"close","close.jpg","閉める","Please close the door.","ドアを閉めてください。","shut"
"collect","collect.jpg","集める","He collects stamps.","彼は切手を集めている。","gather,accumulate"
"come","come.jpg","来る","She came early.","彼女は早く来た。","arrive"
"communicate","communicate.jpg","伝える","We communicate by email.","私たちはメールで連絡する。","connect,inform"
"compare","compare.jpg","比較する","Compare the two plans.","2つの計画を比較しなさい。","contrast"
"complete","complete.jpg","完成する","She completed the task.","彼女は仕事を終えた。","finish,accomplish"
"consider","consider.jpg","考慮する","Please consider my idea.","私の考えを検討してください。","think about"
"continue","continue.jpg","続ける","They continued working.","彼らは働き続けた。","keep,proceed"
"create","create.jpg","作る","She created a website.","彼女はウェブサイトを作った。","make,produce"
"decide","decide.jpg","決める","He decided quickly.","彼はすぐ決めた。","determine,choose"
"develop","develop.jpg","発展させる","They developed an app.","彼らはアプリを開発した。","grow,build"
"difference","difference.jpg","違い","There is a difference.","違いがある。","distinction"
"discover","discover.jpg","発見する","They discovered a cave.","彼らは洞窟を発見した。","find"
"discuss","discuss.jpg","議論する","We discussed the problem.","私たちは問題を議論した。","talk about"
"draw","draw.jpg","描く","She drew a picture.","彼女は絵を描いた。","sketch"
"drive","drive.jpg","運転する","He drives to work.","彼は車で通勤する。","operate"
"eat","eat.jpg","食べる","They ate lunch.","彼らは昼食を食べた。","consume"
"enjoy","enjoy.jpg","楽しむ","I enjoy reading.","私は読書を楽しむ。","like,love"
"explain","explain.jpg","説明する","She explained the rule.","彼女はルールを説明した。","clarify"
"explore","explore.jpg","探検する","They explored the island.","彼らは島を探検した。","investigate"
"feel","feel.jpg","感じる","I feel happy.","私は幸せを感じる。","sense"
"find","find.jpg","見つける","She found a wallet.","彼女は財布を見つけた。","discover"
"finish","finish.jpg","終える","He finished homework.","彼は宿題を終えた。","complete"
"follow","follow.jpg","従う","Follow the instructions.","指示に従ってください。","obey"
"forget","forget.jpg","忘れる","I forgot his name.","私は彼の名前を忘れた。","fail to remember"
"gather","gather.jpg","集める","People gathered here.","人々がここに集まった。","collect"
"gaze","gaze.jpg","見つめる","He gazed at the stars.","彼は星を見つめた。","stare"
"give","give.jpg","与える","She gave me a gift.","彼女は私に贈り物をくれた。","provide"
"go","go.jpg","行く","I go to school.","私は学校へ行く。","move"
"grow","grow.jpg","成長する","Plants grow fast.","植物は早く育つ。","develop"
"guess","guess.jpg","推測する","Guess the answer.","答えを推測して。","estimate"
"happen","happen.jpg","起こる","An accident happened.","事故が起こった。","occur"
"help","help.jpg","助ける","He helped me.","彼は私を助けた。","assist"
"hold","hold.jpg","持つ","Hold the rail.","手すりを持って。","grip"
"improve","improve.jpg","改善する","Practice improves skills.","練習は技能を向上させる。","enhance"
"include","include.jpg","含む","The price includes tax.","価格には税が含まれる。","contain"
"increase","increase.jpg","増える","Sales increased.","売上が増えた。","rise"
"join","join.jpg","参加する","Join the meeting.","会議に参加してください。","participate"
"keep","keep.jpg","保つ","Keep the door closed.","ドアを閉めておいて。","maintain"
"know","know.jpg","知っている","I know the answer.","答えを知っている。","understand"
"learn","learn.jpg","学ぶ","She learns English.","彼女は英語を学ぶ。","study"
"leave","leave.jpg","去る","They left early.","彼らは早く出た。","depart"
"listen","listen.jpg","聞く","Listen carefully.","よく聞きなさい。","hear"
"look","look.jpg","見る","Look at the sky.","空を見て。","see"
"make","make.jpg","作る","He made dinner.","彼は夕食を作った。","create"
"meet","meet.jpg","会う","I met my friend.","友達に会った。","encounter"
"move","move.jpg","動く","The train moves slowly.","電車はゆっくり動く。","shift"
"need","need.jpg","必要とする","I need help.","助けが必要です。","require"
"notice","notice.jpg","気づく","She noticed the mistake.","彼女は間違いに気づいた。","observe"
"open","open.jpg","開ける","Open the window.","窓を開けて。","unlock"
"order","order.jpg","注文する","We ordered pizza.","ピザを注文した。","request"
"pass","pass.jpg","通る","He passed the gate.","彼はゲートを通った。","go by"
"pay","pay.jpg","支払う","She paid the bill.","彼女は請求を払った。","settle"
"play","play.jpg","遊ぶ","Children play outside.","子どもは外で遊ぶ。","enjoy"
"practice","practice.jpg","練習する","Practice every day.","毎日練習しなさい。","train"
"prepare","prepare.jpg","準備する","Prepare for the test.","テストの準備をして。","get ready"
"protect","protect.jpg","守る","Trees protect soil.","木は土を守る。","guard"
"reach","reach.jpg","到達する","We reached the station.","私たちは駅に着いた。","arrive"
"read","read.jpg","読む","She reads books.","彼女は本を読む。","study"
"receive","receive.jpg","受け取る","I received a letter.","手紙を受け取った。","get"
"remember","remember.jpg","覚えている","Remember the rule.","ルールを覚えておいて。","recall"
"respect","respect.jpg","尊重する","Respect others.","他人を尊重しなさい。","honor"
"return","return.jpg","戻る","He returned home.","彼は家に戻った。","come back"
"run","run.jpg","走る","He runs every morning.","彼は毎朝走る。","jog"
"save","save.jpg","節約する","Save money.","お金を節約する。","store"
"see","see.jpg","見る","I see a bird.","鳥が見える。","observe"
"send","send.jpg","送る","Send me an email.","メールを送って。","dispatch"
"share","share.jpg","共有する","Share your ideas.","アイデアを共有して。","divide"
"show","show.jpg","見せる","Show your ticket.","チケットを見せて。","display"
"sit","sit.jpg","座る","Sit here.","ここに座って。","take a seat"
"speak","speak.jpg","話す","Speak slowly.","ゆっくり話して。","talk"
"stand","stand.jpg","立つ","Stand up.","立ちなさい。","rise"
"start","start.jpg","始める","The game started.","試合が始まった。","begin"
"study","study.jpg","勉強する","Study English.","英語を勉強しなさい。","learn"
"succeed","succeed.jpg","成功する","He succeeded.","彼は成功した。","achieve"
"take","take.jpg","取る","Take a photo.","写真を撮って。","capture"
"teach","teach.jpg","教える","She teaches math.","彼女は数学を教える。","educate"
"tell","tell.jpg","伝える","Tell the truth.","真実を言って。","inform"
"think","think.jpg","考える","Think about it.","それについて考えて。","consider"
"try","try.jpg","試す","Try again.","もう一度試して。","attempt"
"use","use.jpg","使う","Use this tool.","この道具を使って。","utilize"
"wait","wait.jpg","待つ","Wait here.","ここで待って。","stay"
"walk","walk.jpg","歩く","Walk slowly.","ゆっくり歩いて。","stroll"
"work","work.jpg","働く","He works hard.","彼は一生懸命働く。","labor"
"write","write.jpg","書く","Write a letter.","手紙を書きなさい。","compose"
